,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
47,ย้อน,WILLISHMARA (วิลิศมาหรา),Whal & Dolph,2021-03-31,368250,22,0.324,0.455,0.351,0.704,0.33,-8.523,0.0278,64.985,4
48,ปล่อยดาว,ปล่อยดาว,YEW,2023-08-31,253412,65,0.0356,0.315,0.747,0.000169,0.173,-6.022,0.0434,188.025,3
49,ความน่าจะเป็นเท่ากับสูญ (0%),ความน่าจะเป็นเท่ากับสูญ (0%),AYLA's,2022-09-29,246000,52,0.368,0.5,0.493,0.0004,0.194,-8.494,0.0245,159.991,3
50,Escape,Escape,Moving and Cut,2018-07-10,273896,46,0.0775,0.515,0.693,0.0128,0.18,-6.897,0.0298,154.006,4
51,แค่วันพรุ่งนี้ที่ไม่มีเรา,Ceramics Runway,Dept,2022-11-15,279344,41,0.654,0.604,0.527,0.00144,0.189,-7.905,0.0294,121.949,4
52,ร้องไห้จนเบลอและเผลอลืมตัวเอง,ร้องไห้จนเบลอและเผลอลืมตัวเอง,เรนิษรา,2022-07-28,191066,57,0.537,0.646,0.744,0.0,0.0935,-4.599,0.0406,91.992,4
53,บ่า,บ่า,Moving and Cut,2020-09-03,244000,47,0.00831,0.428,0.753,1.08e-05,0.37,-5.995,0.0457,185.69,4
54,กอดความเจ็บช้ำ ( Carry ),Safeboys,Safeplanet,2019-09-10,246124,57,0.323,0.405,0.834,0.0,0.146,-5.642,0.0351,183.972,4
55,ติดตลก,ติดตลก - Single,Oat Pramote,2018-08-29,266000,40,0.631,0.609,0.394,6.29e-05,0.108,-10.216,0.027,142.034,4
56,ใจสลาย,WILLISHMARA (วิลิศมาหรา),Whal & Dolph,2021-03-31,311000,37,0.433,0.546,0.406,4.11e-06,0.377,-7.811,0.0343,149.882,3
57,แค่ปล่อยให้เป็นแบบนี้,แค่ปล่อยให้เป็นแบบนี้,Television off,2022-08-17,289014,47,0.0707,0.295,0.751,0.0925,0.0812,-4.466,0.0335,142.002,4
58,พูดลาสักคำ,พูดลาสักคำ,The Parkinson,2022-11-05,214403,46,0.485,0.525,0.717,4.58e-06,0.168,-5.335,0.0342,75.005,4
59,บอกตัวเอง,บอกตัวเอง,Room 39,2018-05-21,228000,53,0.126,0.538,0.52,0.0,0.109,-6.41,0.0331,145.946,4
60,Unfriend,Social Notwork,Helmetheads,2017-11-25,266528,0,0.0542,0.331,0.532,3.55e-06,0.115,-6.507,0.0328,160.003,4
61,ตอนนั้นในวันนี้,ตอนนั้นในวันนี้,PURPEECH,2021-05-04,322500,46,0.271,0.57,0.411,0.508,0.136,-9.511,0.0271,120.01,3
62,พบพา,พบพา...ลาก่อน,YourMOOD,2023-11-03,175783,38,0.638,0.317,0.338,0.0,0.109,-9.323,0.0346,184.314,3
63,สุขสันต์วันสุดท้าย (Last Celebrate),สุขสันต์วันสุดท้าย (Last Celebrate),LANDOKMAI,2021-10-28,313043,39,0.643,0.58,0.328,0.00896,0.345,-9.317,0.025,91.992,4
64,พอแล้วใจ,พอแล้วใจ,Moving and Cut,2017-09-01,221677,37,0.369,0.573,0.738,0.00584,0.107,-6.286,0.0364,94.999,4
65,ให้กอดของฉันบอกทุกอย่าง (Just So You Know),ผู้เดียว,Tilly Birds,2020-09-03,258657,41,0.578,0.307,0.532,0.0,0.205,-5.175,0.0346,179.97,3
66,วันเก่า,Stupid Love Song,loserpop,2020-11-11,276067,36,0.615,0.552,0.422,0.829,0.1,-8.289,0.0308,140.01,3
67,อย่าเลย อย่าไว้ใจ,อย่าเลย อย่าไว้ใจ,Moving and Cut,2019-09-20,257760,38,0.341,0.465,0.539,0.000168,0.108,-8.427,0.036,175.885,4
68,คุก,คุก,FREEHAND,2020-02-12,222000,31,0.00341,0.377,0.549,0.0471,0.0649,-6.133,0.0295,63.971,4
69,แค่ฝันไป,WILLISHMARA (วิลิศมาหรา),Whal & Dolph,2021-03-31,284000,36,0.191,0.729,0.482,0.000798,0.107,-8.344,0.0311,130.047,4
